time,X,Y,Z
4.48,0.241621,0.820283,0.179558
4.49,0.241638,0.820269,0.179596
4.5,0.241655,0.820285,0.179636
4.51,0.241675,0.820286,0.179661
4.52,0.241699,0.820309,0.179693
4.53,0.24172,0.820315,0.179706
4.54,0.241736,0.820316,0.179717
4.55,0.241731,0.820328,0.179723
4.56,0.241739,0.820326,0.179682
4.57,0.241747,0.820336,0.179616
4.58,0.24175,0.820338,0.179535
4.59,0.241764,0.820353,0.179413
4.6,0.241763,0.820375,0.179297
4.61,0.241733,0.820398,0.179192
4.62,0.241727,0.820426,0.179113
4.63,0.24169,0.820438,0.179046
4.64,0.241653,0.820465,0.178981
4.65,0.241581,0.820458,0.178943
4.66,0.241533,0.820476,0.178885
4.67,0.241492,0.820499,0.178835
4.68,0.241426,0.820514,0.17879
4.69,0.24136,0.820512,0.178738
4.7,0.241263,0.820521,0.178734
4.71,0.241207,0.820507,0.1787
4.72,0.241147,0.820514,0.17867
4.73,0.241067,0.820504,0.178676
4.74,0.240991,0.820494,0.178706
4.75,0.240916,0.820479,0.178754
